epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,4.536845803260803,0.03521728515625,4.080851078033447,0.08843315972222222
2,3.95225461324056,0.09942626953125,3.689222627215915,0.1431206597222222
3,3.620621452728907,0.14766438802083334,3.440149466196696,0.17903645833333334
4,3.39489076534907,0.18308512369791666,3.2528685993618436,0.2136501736111111
5,3.222016712029775,0.2119140625,3.1282882160610623,0.2329644097222222
6,3.0909847170114517,0.23740641276041666,2.9557337760925293,0.2663845486111111
7,2.9426529556512833,0.2623697916666667,2.8156579070621066,0.2936197916666667
8,2.8178452054659524,0.286376953125,2.724070496029324,0.3101128472222222
9,2.720073019464811,0.30780029296875,2.6739671760135226,0.3228081597222222
10,2.6404251406590142,0.3221842447916667,2.5785539150238037,0.3407118055555556
11,2.5485557367404303,0.3394368489583333,2.4692355261908636,0.3595920138888889
12,2.4471548795700073,0.359619140625,2.4040468533833823,0.3768446180555556
13,2.3317268838485083,0.3835245768229167,2.3455426692962646,0.3879123263888889
14,2.2344853033622107,0.4057210286458333,2.225688722398546,0.4134114583333333
15,2.128330218295256,0.4298502604166667,2.169337855445014,0.4293619791666667
16,2.013019805153211,0.45635986328125,2.1152143478393555,0.4368489583333333
17,1.9015211537480354,0.4806722005208333,2.043858528137207,0.4584418402777778
18,1.8083885038892429,0.50738525390625,1.9962250656551785,0.4724392361111111
19,1.7348818133274715,0.5213826497395834,1.9749416775173612,0.4768880208333333
20,1.7009295721848805,0.5324503580729166,1.9689423110749986,0.4777560763888889
