label,mean_step_time,std_step_time,min_step_time,max_step_time,p50_step_time,p95_step_time,p99_step_time,throughput_img_per_sec,final_loss,final_accuracy,delay_iterations,slowdown_factor
baseline,0.05182878730000027,0.0006694712733721101,0.050455666999994264,0.05415670599995792,0.051806340999974054,0.05286953799997605,0.053476447299997294,19757.35982539562,3.675990581512451,0.1376953125,,
straggler_5000,0.05757500724000011,0.001114707102424753,0.055223796000063885,0.05972707499995522,0.05752802500001053,0.05933374150004056,0.0596794262999731,17785.494941085795,3.675990581512451,0.1376953125,5000,1.1108692724516016
straggler_20000,0.06545832252999957,0.0008551279009411907,0.0638787919999686,0.06788385000004382,0.06515187600001582,0.0670094565000852,0.06747060419996842,15643.54172887184,3.675990581512451,0.1376953125,20000,1.2629722966718775
straggler_50000,0.08331414985999913,0.0008302669065879957,0.08242641599997569,0.08825295400004052,0.08316959600000473,0.08418851049998466,0.08815077709001003,12290.829369569596,3.675990581512451,0.1376953125,50000,1.607487927080993
straggler_100000,0.11076197063999985,0.00028255641299027116,0.1101549630000136,0.11180370099998527,0.11075112700001455,0.11117188549995945,0.11175709180003991,9245.050391241408,3.675990581512451,0.1376953125,100000,2.1370743251019357
straggler_200000,0.17257040037999785,0.00028448503800183796,0.1719152349999149,0.17332991000012044,0.17255100299996684,0.1730842254500203,0.1732786715599468,5933.810188451582,3.675990581512451,0.1376953125,200000,3.3296245073439517
