epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,4.543441613515218,0.034932454427083336,4.0869311756557885,0.08843315972222222
2,3.9614978233973184,0.09785970052083333,3.700332827038235,0.14095052083333334
3,3.6293679426113763,0.14634195963541666,3.4483947488996716,0.17588975694444445
4,3.403545707464218,0.18194580078125,3.257253726323446,0.2126736111111111
5,3.2303516566753387,0.2110595703125,3.1411823166741266,0.2312282986111111
6,3.101324493686358,0.23480224609375,2.96958409415351,0.2625868055555556
7,2.955590178569158,0.2606404622395833,2.83577216996087,0.2883029513888889
8,2.826980024576187,0.2843831380208333,2.7426379521687827,0.3064236111111111
9,2.728320156534513,0.3042399088541667,2.66715235180325,0.3229166666666667
10,2.64564415315787,0.3221842447916667,2.5892189343770347,0.3359375
11,2.5633713652690253,0.3366902669270833,2.4607155323028564,0.3626302083333333
12,2.4722760717074075,0.3545939127604167,2.4252880679236517,0.3726128472222222
13,2.380024944742521,0.37420654296875,2.4187033971150718,0.3742404513888889
14,2.329757104317347,0.3853556315104167,2.330637719896105,0.3911675347222222
15,2.2496618876854577,0.4018351236979167,2.2747125890519886,0.4065755208333333
16,2.207967941959699,0.4106241861979167,2.2229131857554116,0.4133029513888889
17,2.1261223753293357,0.4303385416666667,2.179438352584839,0.4253472222222222
18,2.0696226308743157,0.4430338541666667,2.1539302931891546,0.4280598958333333
19,2.010066000123819,0.4502766927083333,2.153570466571384,0.4381510416666667
20,1.958578164378802,0.4651692708333333,2.1217001014285617,0.4399956597222222
21,1.88633144646883,0.4817708333333333,2.0866723590426974,0.4537760416666667
22,1.8245826611916225,0.4955851236979167,2.056943337122599,0.4596354166666667
23,1.777008444070816,0.50762939453125,2.0234151548809476,0.4705946180555556
24,1.7205579454700153,0.5201009114583334,2.042807102203369,0.4592013888888889
25,1.6774506842096646,0.5301513671875,1.991824256049262,0.4813368055555556
26,1.60625113795201,0.5472412109375,1.9767301744884915,0.4860026041666667
27,1.5602323859930038,0.5579833984375,1.9524808062447443,0.4927300347222222
28,1.4870333497722943,0.5752766927083334,1.9761572281519573,0.4848090277777778
29,1.4335782105724018,0.5873819986979166,1.9763369030422635,0.4949001736111111
30,1.3867888649304707,0.6006062825520834,1.9545102781719632,0.4992404513888889
